ts,provider,endpoint,rows_returned,ok,est_cost,cumulative_day
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/NERV,0,False,0.0,58
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/NKLA,0,False,0.0,59
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/NPWR,0,False,0.0,60
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/NUKK,0,False,0.0,61
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/NXL,0,False,0.0,62
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/ONDS,0,False,0.0,63
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/OTH,0,False,0.0,64
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/PAYOW,0,False,0.0,65
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/PHGE,0,False,0.0,66
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/PMD,0,False,0.0,67
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/POLA,0,False,0.0,68
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/PSIG,0,False,0.0,69
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/PZG,0,False,0.0,70
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/RCON,0,False,0.0,71
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/REBN,0,False,0.0,72
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/RKDA,0,False,0.0,73
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/RUMBW,0,False,0.0,74
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SABR,0,False,0.0,75
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SCPH,0,False,0.0,76
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SEMR,0,False,0.0,77
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SGN,0,False,0.0,78
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SKIN,0,False,0.0,79
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SLI,0,False,0.0,80
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SNSE,0,False,0.0,81
