date,ticker,gain_pct,relative_volume,close
2026-05-06,COMP,27.27,2.93,9.24
2025-03-19,CSAI,41.83,8.67,7.9
2025-04-01,CSAI,28.38,73.36,5.7
2025-06-30,CSAI,16.32,3.9,2.21
2025-07-15,CYCC,272.51,25.36,12.33
2025-07-18,CYCC,58.81,4.86,13.07
2025-02-20,DBRG,13.86,3.41,12.24
2025-04-09,DBRG,17.21,2.18,7.97
2025-05-15,DBRG,24.4,7.77,11.83
2025-09-11,DBRG,10.21,2.93,12.31
2025-10-14,DBRG,15.71,5.75,13.48
2025-12-05,DBRG,45.27,18.47,14.12
2024-09-24,DJTWW,11.83,5.62,7.94
2024-09-25,DJTWW,13.29,2.14,8.995
2024-09-27,DJTWW,10.47,8.76,9.5
2025-03-25,DJTWW,12.86,2.15,14.7399
2025-04-09,DJTWW,13.36,2.21,12.47
2025-12-18,DJTWW,66.38,15.99,7.62
2025-12-19,DJTWW,30.44,11.15,9.9399
2026-02-09,DJTWW,11.13,2.24,6.69
2025-10-22,DZZ,33.67,49.36,2.66
2025-10-27,DZZ,133.89,55.76,8.42
2025-10-28,DZZ,12.83,4.08,9.5
2025-12-23,DZZ,23.69,15.79,3.55
2025-12-29,DZZ,11.43,4.33,3.9
2026-01-29,DZZ,18.15,12.12,3.84
2026-04-21,DZZ,10.55,5.79,2.891
2026-06-25,DZZ,12.25,7.37,2.071
2025-04-15,ENSC,14.29,35.23,2.24
2025-04-23,ENSC,96.26,497.44,3.67
2024-07-26,ESLA,29.24,108.72,2.21
2025-10-22,ESLA,24.6,3.24,2.33
2025-11-03,ESLA,26.03,2.75,3.05
2025-06-30,FATN,26.15,2.93,9.84
2025-08-13,FATN,20.66,2.5,7.3
2025-09-19,FATN,47.92,844.45,8.89
2025-12-19,FATN,20.69,3.69,2.8
2026-02-03,FATN,41.3,67.04,2.6
2026-03-26,FATN,37.57,38.34,2.38
2026-04-29,FATN,18.66,11.25,2.48
2026-04-30,FATN,22.58,405.32,3.04
2024-10-16,FMST,14.77,3.55,2.72
2025-01-27,FMST,10.33,52.01,2.03
2025-05-15,FMST,20.57,2.91,2.11
2025-05-16,FMST,14.22,4.85,2.41
2025-05-27,FMST,23.66,2.58,3.24
2025-05-28,FMST,16.36,3.78,3.77
2025-06-05,FMST,12.92,2.66,5.42
2025-07-29,FMST,10.57,7.1,2.51
2025-08-05,FMST,15.68,2.41,3.32
2025-08-18,FMST,24.6,3.71,3.09
2025-10-06,FMST,17.45,3.25,3.5
2025-10-13,FMST,20.06,2.14,3.77
2025-10-15,FMST,10.82,3.18,4.3
2024-11-18,GLE,25.12,3.17,5.08
2025-01-23,GLE,13.97,5.96,2.04
2025-05-23,GLE,19.72,5.48,2.55
2025-05-27,GLE,10.78,4.28,2.825
2025-06-03,GLE,17.94,2.9,2.63
2025-03-05,GRRRW,36.65,2.51,2.2
2024-11-11,GWH,19.11,2.67,9.85
2024-12-27,GWH,15.54,2.39,6.47
2025-02-18,GWH,35.41,4.36,5.43
2025-05-13,GWH,14.29,9.01,2.8
2025-07-22,GWH,33.33,4.02,2.08
2025-07-23,GWH,19.71,4.05,2.49
2025-10-06,GWH,16.86,5.4,2.01
2025-10-10,GWH,141.86,329.17,4.16
2025-10-13,GWH,117.55,10.93,9.05
2025-05-23,HONDW,75.78,19.33,2.25
2025-08-12,HONDW,30.21,23.37,2.5
2025-09-15,HONDW,10.34,7.77,3.04
2025-09-19,HONDW,28.57,3.61,4.5
2025-09-23,HONDW,15.56,7.22,5.2
2025-09-24,HONDW,25.0,3.37,6.5
2025-07-22,HTOO,56.78,13.69,6.71
2025-07-25,HTOO,47.78,5.52,6.99
2025-12-03,HTOO,11.71,335.7,3.91
2024-11-27,HURA,44.7,45.37,5.05
2024-11-29,HURA,29.9,7.66,6.56
2024-12-04,HURA,12.95,2.19,6.28
2024-12-20,HURA,12.0,2.13,4.48
2025-01-10,HURA,16.31,3.12,4.85
2025-01-29,HURA,17.17,3.83,5.05
2025-03-18,HURA,15.7,2.03,2.8
2025-03-19,HURA,37.5,6.37,3.85
2025-08-11,HURA,32.61,32.01,3.05
2026-04-10,HURA,15.82,2.21,2.27
2026-04-13,HURA,26.43,4.5,2.87
2026-06-18,HURA,15.77,2.3,2.57
2024-10-22,HYZN,32.12,268.72,2.55
2024-12-06,ILLR,11.27,2.38,3.85
2026-06-25,ILLR,296.57,78.06,3.05
2026-06-26,ILLR,46.23,6.03,4.46
2024-07-29,ISPO,50.57,520.95,5.24
2024-07-30,ISPO,47.33,100.79,7.72
2025-01-10,ISPO,11.94,2.05,5.72
2025-06-20,ISPO,17.79,4.18,4.37
2025-11-13,ISPO,11.59,10.78,2.6
2025-12-17,ISPO,46.83,382.34,4.17
2024-10-21,JCSE,59.29,195.27,2.23
2024-11-12,KAPA,51.05,49.27,2.0543
2025-01-13,KAPA,119.59,1039.28,2.13
2025-04-17,KZIA,366.17,3.15,3.3
2025-06-03,KZIA,26.72,7.19,4.79
2025-06-04,KZIA,11.8,2.23,5.355
2025-06-11,KZIA,81.53,1748.36,9.54
2025-07-09,KZIA,39.63,4.02,9.53
2025-11-19,KZIA,34.38,66.11,7.74
2026-01-05,KZIA,14.4,2.43,5.72
2026-02-26,KZIA,16.45,2.11,8.85
2026-03-03,KZIA,13.36,2.25,10.01
2026-04-07,KZIA,31.06,3.67,9.62
2026-04-22,KZIA,12.6,4.88,11.53
2024-08-30,LESL,20.8,2.37,3.02
2024-09-30,LESL,10.49,2.31,3.16
2024-11-22,LESL,11.15,2.08,3.19
2024-11-25,LESL,10.03,2.76,3.51
2024-12-09,LESL,12.29,2.17,2.65
2025-12-02,LESL,21.36,4.48,3.58
2026-05-14,LESL,144.76,216.64,3.5
2024-08-23,LIND,17.68,3.8,10.45
2024-11-05,LIND,25.24,10.49,11.71
2024-11-06,LIND,12.21,3.66,13.14
2025-08-05,LIND,10.36,3.84,13.63
2026-01-12,LIND,12.3,4.4,16.89
2024-10-07,LOBO,56.86,80.69,3.2
2024-08-29,LUCY,53.78,877.8,5.09
2024-10-29,LUCY,28.93,149.28,7.71
2025-01-06,LUCY,15.52,4.86,6.4
2025-04-09,LUCY,36.87,25.47,2.45
2025-04-10,LUCY,102.04,355.73,4.95
2025-05-14,LUCY,46.46,78.65,2.9
2025-06-20,LUCY,54.82,589.42,3.53
2025-08-14,LUCY,10.0,2.59,2.2
2025-09-22,LUCY,10.31,3.25,2.14
2025-06-04,LYEL,68.59,2.75,13.47
2025-07-25,LYEL,19.31,4.3,12.42
2025-07-28,LYEL,10.55,2.01,13.73
2025-05-19,MDCXW,25.11,4.93,2.74
2025-05-20,MDCXW,13.16,5.42,3.1005
2024-08-21,MMA,24.34,3.86,3.295
2024-09-03,MMA,21.8,2.04,3.73
2024-10-22,MMA,23.81,3.06,2.08
2026-04-30,MRDN,21.5,6.39,9.89
2026-05-01,MRDN,11.22,2.75,11.0
2026-05-04,MRDN,16.82,11.89,12.85
2025-12-09,NCEL,17.57,6.24,4.55
2026-01-12,NCEL,13.7,23.43,2.49
